time,total_precipitation,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,2m_temperature,surface_solar_radiation_downwards,evaporation,specific_humidity,level,LAI
2011-01-02,0.000660484875,0.42409845,0.41599473,274.88965,169203.65999999997,-3.2840983500000004e-05,0.0035898046500000003,1000.0,0.72352463
2011-01-09,1.1548246813571429e-05,0.40234464571428574,0.40435301285714287,274.07292,412981.97857142857,-2.5264959714285714e-05,0.0034729713285714284,1000.0,0.75380445
2011-01-23,2.2867433954285715e-07,0.37977269714285716,0.38195844285714287,279.3174814285714,483867.14,-3.4026018e-05,0.004859561557142857,1000.0,0.80208206
2011-01-30,7.374789565385713e-05,0.35852276428571433,0.36596565285714283,278.7474542857143,494209.21571428573,-3.5402780428571435e-05,0.0046487831,1000.0,0.8361075
2011-02-06,4.060975946414286e-06,0.3651622371428571,0.36372731714285716,278.10452142857145,565836.4428571428,-4.362801557142857e-05,0.003876697342857143,1000.0,0.86926866
2011-02-13,2.563894957e-07,0.3180410657142857,0.3382687957142857,279.2151714285714,636553.76,-4.956563957142857e-05,0.0034365285142857146,1000.0,0.8970493
2011-02-20,0.0005581946581428571,0.35550863857142856,0.35092117142857143,277.8002571428571,414617.8085714286,-4.2825176857142854e-05,0.004259398542857143,1000.0,0.9132576
2011-02-27,0.00019510002678571432,0.3707081657142857,0.37371632857142856,274.4412185714286,595347.5142857142,-4.1787558428571435e-05,0.0031835769857142854,1000.0,0.93285096
2011-03-06,0.00015395635584,0.3684587757142857,0.36599154142857143,279.23999142857144,629801.3099999999,-4.8349129714285714e-05,0.0042826317,1000.0,0.95602095
2011-03-20,0.0005995830204285714,0.38254713999999995,0.37115171142857145,280.42827714285716,556698.1242857144,-5.926263285714285e-05,0.0050371616,1000.0,0.99136835
2011-03-27,0.0005018933985714286,0.4265766871428571,0.41855403,278.1619842857143,527009.2257142857,-5.7058266714285716e-05,0.0044773462714285716,1000.0,1.0456915
2011-04-03,1.5287008159042856e-05,0.39420683714285715,0.40327248714285713,284.2298257142857,937712.7357142858,-8.63627997142857e-05,0.005891325885714285,1000.0,1.118132
2011-04-10,7.123329064072857e-05,0.3443241157142857,0.36372747714285714,280.6761914285714,965982.6214285714,-8.750291199999999e-05,0.004057350914285714,1000.0,1.1504815
2011-04-17,1.1837930452857142e-05,0.3134409957142857,0.3384146214285714,282.7370371428571,993445.1057142857,-7.759781285714285e-05,0.004882008142857143,1000.0,1.1657575
2011-04-24,0.00013973441042857142,0.30143496857142854,0.3257602314285714,284.59050142857143,757972.9771428572,-6.444753785714286e-05,0.005815415757142857,1000.0,1.1622286
2011-05-01,1.9994708126428573e-05,0.2831418885714286,0.31465084,283.4221242857143,1107435.342857143,-7.767598228571428e-05,0.0036472232000000003,1000.0,1.1512246
2011-05-15,7.806173550357143e-05,0.22843164285714287,0.2835073657142857,285.64978857142853,1119729.6857142856,-6.802404328571428e-05,0.004402117228571429,1000.0,1.141904
2011-05-22,0.0001248049003,0.2907247614285714,0.29744128857142854,284.1890528571429,997011.6971428571,-8.076224585714286e-05,0.004900361214285714,1000.0,1.1485727
2011-05-29,8.938907357142858e-05,0.24723909142857142,0.2913141957142857,284.84208,1076209.9857142859,-6.330846942857142e-05,0.004703578842857143,1000.0,1.1715971
2011-06-05,0.00013205227265714286,0.2644517985714286,0.28799131714285714,284.71556571428573,941605.6757142858,-6.979845757142858e-05,0.004899671585714286,1000.0,1.2179178
2011-06-12,8.797471385799998e-05,0.29967186,0.3013245628571429,288.83463571428575,1143315.6142857142,-0.00010624055000000001,0.006555454471428571,1000.0,1.2694879
2011-06-19,4.742192048571429e-07,0.20523939428571428,0.2755001557142857,293.57483142857143,1283421.2714285715,-8.419820285714285e-05,0.0063293983,1000.0,1.3311862
2011-06-26,2.0861626140000002e-07,0.1801267914285714,0.2636580628571429,296.1050142857143,1320573.9428571428,-8.518486257142857e-05,0.005710416071428572,1000.0,1.3911334
2011-07-10,3.078380075342857e-06,0.18646433999999998,0.2596879357142857,298.36642,1272255.7285714285,-8.682487285714285e-05,0.007096145214285714,1000.0,1.4403512
2011-07-17,6.098976599142857e-06,0.17832752142857142,0.25326020857142856,292.2625428571429,1259941.0142857141,-7.172792428571429e-05,0.006490984428571428,1000.0,1.4689468
2011-07-24,4.810447228571428e-09,0.16633511285714286,0.24570061571428572,295.8558628571428,1265424.0571428572,-6.9164413e-05,0.006983870942857143,1000.0,1.4797516
2011-07-31,7.192964853585714e-06,0.15982583285714286,0.2409298857142857,297.25691428571423,1212978.3714285714,-6.9128044e-05,0.0068721456,1000.0,1.4790661
2011-08-07,1.2120456427285715e-06,0.16252985571428571,0.23934272714285715,295.9862871428572,1215269.6714285712,-7.200911428571428e-05,0.006768510314285714,1000.0,1.4676638
2011-08-14,-5.321843142857143e-10,0.15503761,0.23438876142857143,296.1691471428571,1191231.9571428571,-6.439116371428571e-05,0.005942938,1000.0,1.4501963
2011-08-21,9.521110142857145e-10,0.15224667428571428,0.23147423714285714,295.4702057142857,1169463.3714285714,-6.059304042857143e-05,0.005524083142857143,1000.0,1.4317491
2011-09-04,2.8798933285714283e-09,0.14848466142857145,0.22801163285714285,295.8144957142857,1077114.0,-5.691975057142857e-05,0.005756561842857143,1000.0,1.4090875
2011-09-11,9.024940935142856e-06,0.15116743285714285,0.23017406857142858,296.30987142857145,939968.2328571428,-5.9453365e-05,0.006215090342857143,1000.0,1.3756794
